Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,ApplicantIncome_Log,CoapplicantIncome_Log,LoanAmount_Log
LP001002,1,0,0,0,0,5849.0,0.0,126.0,360.0,1.0,1,False,False,True,8.674196940225903,0.0,4.844187086458591
LP001003,1,1,1,0,0,4583.0,1508.0,128.0,360.0,1.0,0,True,False,False,8.430327258394575,7.319202458767849,4.859812404361672
LP001005,1,1,0,0,1,3000.0,0.0,66.0,360.0,1.0,1,False,False,True,8.006700845440367,0.0,4.204692619390966
LP001006,1,1,0,1,0,2583.0,2358.0,120.0,360.0,1.0,1,False,False,True,7.857093864902493,7.765993079407675,4.795790545596741
LP001008,1,0,0,0,0,6000.0,0.0,141.0,360.0,1.0,1,False,False,True,8.699681400989514,0.0,4.955827057601261
LP001011,1,1,2,0,1,5417.0,4196.0,261.5,360.0,1.0,1,False,False,True,8.59748202264504,8.34212526333359,5.570251082031678
LP001013,1,1,0,1,0,2333.0,1516.0,95.0,360.0,1.0,1,False,False,True,7.755338812846501,7.324489979348532,4.564348191467836
LP001014,1,1,3,0,0,3036.0,2504.0,158.0,360.0,0.0,0,False,True,False,8.01862546504575,7.826044013518965,5.0689042022202315
LP001018,1,1,2,0,0,4006.0,1526.0,168.0,360.0,1.0,1,False,False,True,8.295798110636145,7.3310603052186325,5.1298987149230735
LP001020,1,1,1,0,0,10171.25,5743.125,261.5,360.0,1.0,0,False,True,False,9.227418703510933,8.655932872329714,5.570251082031678
LP001024,1,1,2,0,0,3200.0,700.0,70.0,360.0,1.0,1,False,False,True,8.071218539969863,6.55250788703459,4.2626798770413155
LP001027,1,1,2,0,0,2500.0,1840.0,109.0,360.0,1.0,1,False,False,True,7.824445930877619,7.518064181233078,4.700480365792417
LP001028,1,1,2,0,0,3073.0,5743.125,200.0,360.0,1.0,1,False,False,True,8.03073492409854,8.655932872329714,5.303304908059076
LP001029,1,0,0,0,0,1853.0,2840.0,114.0,360.0,1.0,0,True,False,False,7.5251007461258,7.951911381854188,4.74493212836325
LP001032,1,0,0,0,0,4950.0,0.0,125.0,360.0,1.0,1,False,False,True,8.507344855361422,0.0,4.836281906951478
LP001036,0,0,0,0,0,3510.0,0.0,76.0,360.0,0.0,0,False,False,True,8.163656176168432,0.0,4.343805421853684
LP001038,1,1,0,1,0,4887.0,0.0,133.0,360.0,1.0,0,True,False,False,8.494538500851432,0.0,4.897839799950911
LP001041,1,1,0,0,0,2600.0,3500.0,115.0,360.0,1.0,1,False,False,True,7.8636512654486515,8.160803920954665,4.7535901911063645
LP001043,1,1,0,1,0,7660.0,0.0,104.0,360.0,0.0,0,False,False,True,8.94389780251682,0.0,4.653960350157523
LP001046,1,1,1,0,0,5955.0,5625.0,261.5,360.0,1.0,1,False,False,True,8.6921543938039,8.635153989049803,5.570251082031678
LP001047,1,1,0,1,0,2600.0,1911.0,116.0,360.0,0.0,0,False,True,False,7.8636512654486515,7.555905093611346,4.762173934797756
LP001050,1,1,2,1,0,3365.0,1917.0,112.0,360.0,0.0,0,True,False,False,8.121480374750751,7.559038255443384,4.727387818712341
LP001052,1,1,1,0,0,3717.0,2925.0,151.0,360.0,0.0,0,False,True,False,8.220941168281389,7.98139158158007,5.0238805208462765
LP001066,1,1,0,0,1,9560.0,0.0,191.0,360.0,1.0,1,False,True,False,9.165447603085447,0.0,5.2574953720277815
LP001068,1,1,0,0,0,2799.0,2253.0,122.0,360.0,1.0,1,False,True,False,7.937374696163295,7.720461694599722,4.812184355372417
LP001073,1,1,2,1,0,4226.0,1040.0,110.0,360.0,1.0,1,False,False,True,8.34924780056679,6.947937068614969,4.709530201312334
LP001086,1,0,0,1,0,1442.0,0.0,35.0,360.0,1.0,0,False,False,True,7.274479558773871,0.0,3.58351893845611
LP001087,0,0,2,0,0,3750.0,2083.0,120.0,360.0,1.0,1,False,True,False,8.229777750081887,7.642044402873258,4.795790545596741
LP001091,1,1,1,0,0,4166.0,3369.0,201.0,360.0,0.0,0,False,False,True,8.334951631422454,8.122668023346407,5.308267697401205
LP001095,1,0,0,0,0,3167.0,0.0,74.0,360.0,1.0,0,False,False,True,8.060855752934316,0.0,4.31748811353631
LP001097,1,0,1,0,1,4692.0,0.0,106.0,360.0,1.0,0,True,False,False,8.453827315794417,0.0,4.672828834461906
LP001098,1,1,0,0,0,3500.0,1667.0,114.0,360.0,1.0,1,False,True,False,8.160803920954665,7.419380582918692,4.74493212836325
LP001100,1,0,3,0,0,10171.25,3000.0,261.5,360.0,1.0,0,True,False,False,9.227418703510933,8.006700845440367,5.570251082031678
LP001106,1,1,0,0,0,2275.0,2067.0,126.0,360.0,1.0,1,False,False,True,7.730174795246222,7.63433723562832,4.844187086458591
LP001109,1,1,0,0,0,1828.0,1330.0,100.0,360.0,0.0,0,False,False,True,7.511524648390866,7.193685818395112,4.61512051684126
LP001112,0,1,0,0,0,3667.0,1459.0,144.0,360.0,1.0,1,False,True,False,8.207401833376355,7.286191714702382,4.976733742420574
LP001114,1,0,0,0,0,4166.0,5743.125,184.0,360.0,1.0,1,False,False,True,8.334951631422454,8.655932872329714,5.220355825078324
LP001116,1,0,0,1,0,3748.0,1668.0,110.0,360.0,1.0,1,False,True,False,8.229244416735913,7.419979923661835,4.709530201312334
LP001119,1,0,0,0,0,3600.0,0.0,80.0,360.0,1.0,0,False,False,True,8.188966863648876,0.0,4.394449154672439
LP001120,1,0,0,0,0,1800.0,1213.0,47.0,360.0,1.0,1,False,False,True,7.496097345175956,7.101675971619444,3.871201010907891
LP001123,1,1,0,0,0,2400.0,0.0,75.0,360.0,0.0,1,False,False,True,7.783640596221253,0.0,4.330733340286331
LP001131,1,1,0,0,0,3941.0,2336.0,134.0,360.0,1.0,1,False,True,False,8.279443487712665,7.756623334538858,4.90527477843843
LP001136,1,1,0,1,1,4695.0,0.0,96.0,360.0,1.0,1,False,False,True,8.454466361507933,0.0,4.574710978503383
LP001137,0,0,0,0,0,3410.0,0.0,88.0,360.0,1.0,1,False,False,True,8.134760782418645,0.0,4.48863636973214
LP001138,1,1,1,0,0,5649.0,0.0,44.0,360.0,1.0,1,False,False,True,8.639410824140487,0.0,3.8066624897703196
LP001144,1,1,0,0,0,5821.0,0.0,144.0,360.0,1.0,1,False,False,True,8.669399124305569,0.0,4.976733742420574
LP001146,0,1,0,0,0,2645.0,3440.0,120.0,360.0,0.0,0,False,False,True,7.880804344674901,8.14351740579748,4.795790545596741
LP001151,0,0,0,0,0,4000.0,2275.0,144.0,360.0,1.0,1,False,True,False,8.294299608857235,7.730174795246222,4.976733742420574
LP001155,0,1,0,1,0,1928.0,1644.0,100.0,360.0,1.0,1,False,True,False,7.564757012905729,7.405495663199472,4.61512051684126
LP001157,0,0,0,0,0,3086.0,0.0,120.0,360.0,1.0,1,False,True,False,8.034955024502159,0.0,4.795790545596741
LP001164,0,0,0,0,0,4230.0,0.0,112.0,360.0,1.0,0,False,True,False,8.350193650720067,0.0,4.727387818712341
LP001179,1,1,2,0,0,4616.0,0.0,134.0,360.0,1.0,0,False,False,True,8.43750042250699,0.0,4.90527477843843
LP001186,0,1,1,0,1,10171.25,0.0,261.5,360.0,0.0,0,False,False,True,9.227418703510933,0.0,5.570251082031678
LP001194,1,1,2,0,0,2708.0,1167.0,97.0,360.0,1.0,1,False,True,False,7.904334842085095,7.0630481633881725,4.584967478670572
LP001195,1,1,0,0,0,2132.0,1591.0,96.0,360.0,1.0,1,False,True,False,7.665284718471351,7.3727463664043285,4.574710978503383
LP001197,1,1,0,0,0,3366.0,2200.0,135.0,360.0,1.0,0,True,False,False,8.121777419161074,7.696667081526462,4.912654885736052
LP001198,1,1,1,0,0,8080.0,2250.0,180.0,360.0,1.0,1,False,False,True,8.997270906233448,7.719129840906732,5.198497031265826
LP001199,1,1,2,1,0,3357.0,2859.0,144.0,360.0,1.0,1,False,False,True,8.119100837637486,7.958576903813898,4.976733742420574
LP001205,1,1,0,0,0,2500.0,3796.0,120.0,360.0,1.0,1,False,False,True,7.824445930877619,8.241966560231802,4.795790545596741
LP001206,1,1,3,0,0,3029.0,0.0,99.0,360.0,1.0,1,False,False,True,8.016317898503415,0.0,4.605170185988092
LP001213,1,1,1,0,0,4945.0,0.0,126.0,360.0,0.0,0,True,False,False,8.506334448081361,0.0,4.844187086458591
LP001222,0,0,0,0,0,4166.0,0.0,116.0,360.0,0.0,0,False,True,False,8.334951631422454,0.0,4.762173934797756
LP001225,1,1,0,0,0,5726.0,4595.0,258.0,360.0,1.0,0,False,True,False,8.652947112393857,8.432941638968646,5.556828061699537
LP001233,1,1,1,0,0,10171.25,0.0,261.5,360.0,1.0,1,False,False,True,9.227418703510933,0.0,5.570251082031678
LP001241,0,0,0,0,0,4300.0,0.0,136.0,360.0,0.0,0,False,True,False,8.366602832783736,0.0,4.919980925828125
LP001243,1,1,0,0,0,3208.0,3066.0,172.0,360.0,1.0,1,False,False,True,8.073714641109857,8.028455164114252,5.153291594497779
LP001245,1,1,2,1,1,1875.0,1875.0,97.0,360.0,1.0,1,False,True,False,7.53689712956617,7.53689712956617,4.584967478670572
LP001250,1,1,3,1,0,4755.0,0.0,95.0,360.0,0.0,0,False,True,False,8.467162257810672,0.0,4.564348191467836
LP001253,1,1,3,0,1,5266.0,1774.0,187.0,360.0,1.0,1,False,True,False,8.569216219483389,7.4815557019095165,5.236441962829949
LP001256,1,0,0,0,0,3750.0,4750.0,176.0,360.0,1.0,0,False,False,True,8.229777750081887,8.46611040118692,5.176149732573829
LP001259,1,1,1,0,1,1000.0,3022.0,110.0,360.0,1.0,0,False,False,True,6.90875477931522,8.014004994779459,4.709530201312334
LP001264,1,1,3,1,1,3333.0,2166.0,130.0,360.0,0.0,1,False,True,False,8.111928063310739,7.681099001536359,4.875197323201151
LP001265,0,0,0,0,0,3846.0,0.0,111.0,360.0,1.0,1,False,True,False,8.255048902752295,0.0,4.718498871295094
LP001266,1,1,1,0,1,2395.0,0.0,126.0,360.0,1.0,1,False,True,False,7.78155595923534,0.0,4.844187086458591
LP001267,0,1,2,0,0,1378.0,1881.0,167.0,360.0,1.0,0,False,False,True,7.229113877793302,7.540090320145325,5.123963979403259
LP001273,1,1,0,0,0,6000.0,2250.0,261.5,360.0,0.0,0,False,True,False,8.699681400989514,7.719129840906732,5.570251082031678
LP001279,1,0,0,0,0,2366.0,2531.0,136.0,360.0,1.0,1,False,True,False,7.769378609513984,7.836764783264067,4.919980925828125
LP001280,1,1,2,1,0,3333.0,2000.0,99.0,360.0,0.0,1,False,True,False,8.111928063310739,7.601402334583733,4.605170185988092
LP001282,1,1,0,0,0,2500.0,2118.0,104.0,360.0,1.0,1,False,True,False,7.824445930877619,7.6586995582682995,4.653960350157523
LP001289,1,0,0,0,0,8566.0,0.0,210.0,360.0,1.0,1,False,False,True,9.055672891964043,0.0,5.351858133476067
LP001310,1,1,0,0,0,5695.0,4167.0,175.0,360.0,1.0,1,False,True,False,8.647519453091812,8.335191583433202,5.170483995038151
LP001316,1,1,0,0,0,2958.0,2900.0,131.0,360.0,1.0,1,False,True,False,7.99260665240021,7.972810784121404,4.882801922586371
LP001319,1,1,2,1,0,3273.0,1820.0,81.0,360.0,1.0,1,False,False,True,8.09376775793108,7.507141079727608,4.406719247264253
LP001322,1,0,0,0,0,4133.0,0.0,122.0,360.0,1.0,1,False,True,False,8.327000740241713,0.0,4.812184355372417
LP001326,1,0,0,0,0,6782.0,0.0,126.0,360.0,0.0,0,False,False,True,8.82217476094608,0.0,4.844187086458591
LP001327,0,1,0,0,0,2484.0,2302.0,137.0,360.0,1.0,1,False,True,False,7.818027938530729,7.741967899820685,4.927253685157205
LP001333,1,1,0,0,0,1977.0,997.0,50.0,360.0,1.0,1,False,True,False,7.589841512182657,6.905753276311464,3.9318256327243257
LP001343,1,1,0,0,0,1759.0,3541.0,131.0,360.0,1.0,1,False,True,False,7.473069088032197,8.17244681834278,4.882801922586371
LP001349,1,0,0,0,0,4843.0,3806.0,151.0,360.0,1.0,1,False,True,False,8.485496104672983,8.244596756382498,5.0238805208462765
LP001350,1,1,0,0,0,10171.25,0.0,126.0,360.0,1.0,1,False,False,True,9.227418703510933,0.0,4.844187086458591
LP001356,1,1,0,0,0,4652.0,3583.0,126.0,360.0,1.0,1,False,True,False,8.445267451844648,8.18423477409482,4.844187086458591
LP001357,1,1,0,0,0,3816.0,754.0,160.0,360.0,1.0,1,False,False,True,8.247220052745229,6.626717749249025,5.081404364984463
LP001367,1,1,1,0,0,3052.0,1030.0,100.0,360.0,1.0,1,False,False,True,8.023879992734878,6.93828448401696,4.61512051684126
LP001369,1,1,2,0,0,10171.25,1126.0,225.0,360.0,1.0,1,False,False,True,9.227418703510933,7.027314514039777,5.420534999272286
LP001370,1,0,0,1,0,7333.0,0.0,120.0,360.0,1.0,0,True,False,False,8.900276348631271,0.0,4.795790545596741
LP001379,1,1,2,0,0,3800.0,3600.0,216.0,360.0,0.0,0,False,False,True,8.24301946898925,8.188966863648876,5.37989735354046
LP001385,1,0,0,0,0,5316.0,0.0,136.0,360.0,1.0,1,False,False,True,8.57866451350434,0.0,4.919980925828125
LP001387,0,1,0,0,0,2929.0,2333.0,139.0,360.0,1.0,1,False,True,False,7.982757702011113,7.755338812846501,4.941642422609304
LP001391,1,1,0,1,0,3572.0,4114.0,152.0,360.0,0.0,0,True,False,False,8.181160858023409,8.32239411311117,5.030437921392435
LP001392,0,0,1,0,1,7451.0,0.0,126.0,360.0,1.0,1,False,True,False,8.916237731721479,0.0,4.844187086458591
LP001398,1,0,0,0,0,5050.0,0.0,118.0,360.0,1.0,1,False,True,False,8.527341522468053,0.0,4.77912349311153
LP001404,0,1,0,0,0,3167.0,2283.0,154.0,360.0,1.0,1,False,True,False,8.060855752934316,7.7336835707759,5.043425116919247
LP001405,1,1,1,0,0,2214.0,1398.0,85.0,360.0,0.0,1,False,False,True,7.703007682479236,7.243512974665482,4.454347296253507
LP001421,1,1,0,0,0,5568.0,2142.0,175.0,360.0,1.0,0,True,False,False,8.624970783589669,7.669961995473577,5.170483995038151
LP001422,0,0,0,0,0,10171.25,0.0,259.0,360.0,1.0,1,False,False,True,9.227418703510933,0.0,5.560681631015528
LP001426,1,1,0,0,0,5667.0,2667.0,180.0,360.0,1.0,1,True,False,False,8.64259160081057,7.889084407035514,5.198497031265826
LP001430,0,0,0,0,0,4166.0,0.0,44.0,360.0,1.0,1,False,True,False,8.334951631422454,0.0,3.8066624897703196
LP001431,0,0,0,0,0,2137.0,5743.125,137.0,360.0,0.0,1,False,True,False,7.6676260915849905,8.655932872329714,4.927253685157205
LP001432,1,1,2,0,0,2957.0,0.0,81.0,360.0,1.0,1,False,True,False,7.992268643270745,0.0,4.406719247264253
LP001439,1,1,0,1,0,4300.0,2014.0,194.0,360.0,1.0,1,True,False,False,8.366602832783736,7.608374474380783,5.272999558563747
LP001443,0,0,0,0,0,3692.0,0.0,93.0,360.0,0.0,1,True,False,False,8.214194414852564,0.0,4.543294782270004
LP001448,1,1,3,0,0,10171.25,0.0,261.5,360.0,1.0,1,True,False,False,9.227418703510933,0.0,5.570251082031678
